data,valor
2026-07-20,142.65
2026-07-21,144.17
2026-07-22,145.45
2026-07-23,147.47
2026-07-24,148.37
2026-07-27,147.75
2026-07-28,147.89
2026-07-29,146.81
2026-07-30,145.29
2026-07-31,144.91
2026-08-03,144.04
2026-08-04,144.12
2026-08-05,144.91
2026-08-06,144.98
2026-08-07,145.15
